ops	steps	M	K	N	zone
20641	9989324	199	8	1093	1,1,1,1,1,2,1
20657	10006896	199	8	1094	1,1,1,1,1,3
20671	10024468	199	8	1095	1,1,1,1,1,1,1,1
20686	10042060	199	8	1096	1,1,1,1,1,1,2
20700	10059664	199	8	1097	1,1,1,1,1,1,1,1
20717	10077296	199	8	1098	1,1,1,1,1,1,2
20731	10094932	199	8	1099	1,1,1,1,1,1,1,1
20746	10112588	199	8	1100	1,1,1,1,2,2
20760	10130256	199	8	1101	1,1,1,1,3,1
20777	10147964	199	8	1102	1,1,1,1,4
20791	10165664	199	8	1103	1,1,1,1,2,1,1
20806	10183384	199	8	1104	1,1,1,1,1,1,2
20820	10201116	199	8	1105	1,1,1,1,1,1,1,1
20837	10218876	199	8	1106	1,1,1,1,1,1,2
20851	10236640	199	8	1107	1,1,1,1,1,1,1,1
20866	10254424	199	8	1108	1,1,1,1,1,1,2
20880	10272220	199	8	1109	1,1,1,1,1,2,1
20896	10290048	199	8	1110	1,1,1,1,1,3
20910	10307876	199	8	1111	1,1,1,1,1,1,1,1
20925	10325724	199	8	1112	1,1,1,1,1,1,2
20939	10343584	199	8	1113	1,1,1,1,1,1,1,1
20956	10361472	199	8	1114	1,1,1,2,1,2
20970	10379364	199	8	1115	1,1,1,2,1,1,1
20985	10397276	199	8	1116	1,1,1,3,2
20999	10415200	199	8	1117	1,1,1,4,1
21017	10433168	199	8	1118	1,1,1,5
21031	10451124	199	8	1119	1,1,1,3,1,1
21046	10469100	199	8	1120	1,1,1,2,1,2
21060	10487088	199	8	1121	1,1,1,2,1,1,1
21077	10505104	199	8	1122	1,1,1,1,1,1,2
21091	10523124	199	8	1123	1,1,1,1,1,1,1,1
21106	10541164	199	8	1124	1,1,1,1,1,1,2
21120	10559216	199	8	1125	1,1,1,1,1,2,1
21136	10577300	199	8	1126	1,1,1,1,1,3
21150	10595384	199	8	1127	1,1,1,1,1,1,1,1
21165	10613488	199	8	1128	1,1,1,1,1,1,2
21179	10631604	199	8	1129	1,1,1,1,1,1,1,1
21196	10649748	199	8	1130	1,1,1,1,1,1,2
21210	10667896	199	8	1131	1,1,1,1,1,1,1,1
21225	10686064	199	8	1132	1,1,1,1,2,2
21239	10704244	199	8	1133	1,1,1,1,3,1
21256	10722464	199	8	1134	1,1,2,4
21270	10740676	199	8	1135	1,1,2,2,1,1
21285	10758908	199	8	1136	1,1,2,1,1,2
21299	10777152	199	8	1137	1,1,2,1,1,1,1
21316	10795424	199	8	1138	1,1,2,1,1,2
21330	10813700	199	8	1139	1,1,2,1,1,1,1
21345	10831996	199	8	1140	1,1,2,1,1,2
21359	10850304	199	8	1141	1,1,2,1,2,1
21375	10868644	199	8	1142	1,1,2,1,3
21389	10886984	199	8	1143	1,1,2,1,1,1,1
21404	10905344	199	8	1144	1,1,2,1,1,2
21418	10923716	199	8	1145	1,1,2,1,1,1,1
21435	10942116	199	8	1146	1,1,3,1,2
21449	10960520	199	8	1147	1,1,3,1,1,1
21464	10978944	199	8	1148	1,1,4,2
21478	10997380	199	8	1149	1,1,5,1
21497	11015872	199	8	1150	1,1,6
21511	11034340	199	8	1151	1,1,4,1,1
21526	11052828	199	8	1152	1,1,3,1,2
21540	11071328	199	8	1153	1,1,3,1,1,1
21557	11089856	199	8	1154	1,1,2,1,1,2
21571	11108388	199	8	1155	1,1,2,1,1,1,1
21586	11126940	199	8	1156	1,1,2,1,1,2
21600	11145504	199	8	1157	1,1,2,1,2,1
21616	11164100	199	8	1158	1,1,2,1,3
21630	11182696	199	8	1159	1,1,2,1,1,1,1
21645	11201312	199	8	1160	1,1,2,1,1,2
21659	11219940	199	8	1161	1,1,2,1,1,1,1
21676	11238596	199	8	1162	1,1,2,1,1,2
21690	11257256	199	8	1163	1,1,2,1,1,1,1
21705	11275936	199	8	1164	1,1,2,2,2
21719	11294628	199	8	1165	1,1,2,3,1
21736	11313360	199	8	1166	1,1,1,1,4
21750	11332084	199	8	1167	1,1,1,1,2,1,1
21765	11350828	199	8	1168	1,1,1,1,1,1,2
21779	11369584	199	8	1169	1,1,1,1,1,1,1,1
21796	11388368	199	8	1170	1,1,1,1,1,1,2
21810	11407156	199	8	1171	1,1,1,1,1,1,1,1
21825	11425964	199	8	1172	1,1,1,1,1,1,2
21839	11444784	199	8	1173	1,1,1,1,1,2,1
21855	11463636	199	8	1174	1,1,1,1,1,3
21869	11482488	199	8	1175	1,1,1,1,1,1,1,1
21884	11501360	199	8	1176	1,1,1,1,1,1,2
21898	11520244	199	8	1177	1,1,1,1,1,1,1,1
21915	11539156	199	8	1178	1,1,1,2,1,2
21929	11558072	199	8	1179	1,1,1,2,1,1,1
21944	11577008	199	8	1180	1,1,1,3,2
21958	11595956	199	8	1181	1,1,1,4,1
21976	11614948	199	8	1182	1,1,1,5
21990	11633928	199	8	1183	1,1,1,3,1,1
22005	11652928	199	8	1184	1,1,1,2,1,2
22019	11671940	199	8	1185	1,1,1,2,1,1,1
22036	11690980	199	8	1186	1,1,1,1,1,1,2
22050	11710024	199	8	1187	1,1,1,1,1,1,1,1
22065	11729088	199	8	1188	1,1,1,1,1,1,2
22079	11748164	199	8	1189	1,1,1,1,1,2,1
22095	11767272	199	8	1190	1,1,1,1,1,3
22109	11786380	199	8	1191	1,1,1,1,1,1,1,1
22124	11805508	199	8	1192	1,1,1,1,1,1,2
22138	11824648	199	8	1193	1,1,1,1,1,1,1,1
22155	11843816	199	8	1194	1,1,1,1,1,1,2
22169	11862988	199	8	1195	1,1,1,1,1,1,1,1
22184	11882180	199	8	1196	1,1,1,1,2,2
22198	11901384	199	8	1197	1,1,1,1,3,1
22215	11920628	199	8	1198	1,1,1,1,4
22229	11939864	199	8	1199	1,1,1,1,2,1,1
22244	11959120	199	8	1200	1,1,1,1,1,1,2
22258	11978388	199	8	1201	1,1,1,1,1,1,1,1
22275	11997684	199	8	1202	1,1,1,1,1,1,2
22289	12016984	199	8	1203	1,1,1,1,1,1,1,1
22304	12036304	199	8	1204	1,1,1,1,1,1,2
22318	12055636	199	8	1205	1,1,1,1,1,2,1
22334	12075000	199	8	1206	1,1,1,1,1,3
22348	12094364	199	8	1207	1,1,1,1,1,1,1,1
22363	12113748	199	8	1208	1,1,1,1,1,1,2
22377	12133144	199	8	1209	1,1,1,1,1,1,1,1
22394	12152568	199	8	1210	1,1,1,2,1,2
22408	12171996	199	8	1211	1,1,1,2,1,1,1
22423	12191444	199	8	1212	1,1,1,3,2
22437	12210904	199	8	1213	1,1,1,4,1
22457	12230416	199	8	1214	1,1,1,5
22471	12249908	199	8	1215	1,1,1,3,1,1
22486	12269420	199	8	1216	1,1,1,2,1,2
22500	12288944	199	8	1217	1,1,1,2,1,1,1
22517	12308496	199	8	1218	1,1,1,1,1,1,2
22531	12328052	199	8	1219	1,1,1,1,1,1,1,1
22546	12347628	199	8	1220	1,1,1,1,1,1,2
22560	12367216	199	8	1221	1,1,1,1,1,2,1
22576	12386836	199	8	1222	1,1,1,1,1,3
22590	12406456	199	8	1223	1,1,1,1,1,1,1,1
22605	12426096	199	8	1224	1,1,1,1,1,1,2
22619	12445748	199	8	1225	1,1,1,1,1,1,1,1
22636	12465428	199	8	1226	1,1,1,1,1,1,2
22650	12485112	199	8	1227	1,1,1,1,1,1,1,1
22665	12504816	199	8	1228	1,1,1,1,2,2
22679	12524532	199	8	1229	1,1,1,1,3,1
22696	12544288	199	8	1230	1,1,1,1,4
22710	12564036	199	8	1231	1,1,1,1,2,1,1
22725	12583804	199	8	1232	1,1,1,1,1,1,2
22739	12603584	199	8	1233	1,1,1,1,1,1,1,1
22756	12623392	199	8	1234	1,1,1,1,1,1,2
22770	12643204	199	8	1235	1,1,1,1,1,1,1,1
22785	12663036	199	8	1236	1,1,1,1,1,1,2
22799	12682880	199	8	1237	1,1,1,1,1,2,1
22815	12702756	199	8	1238	1,1,1,1,1,3
